Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-02 09:11:07 | WARD_B_TEMP_01 | 38.4 | CRITICAL
2026-06-02 09:11:07 | WARD_B_TEMP_02 | 39.0 | CRITICAL
2026-06-02 09:11:07 | WARD_B_TEMP_03 | 38.5 | CRITICAL
2026-06-02 09:11:07 | WARD_B_TEMP_04 | 35.3 | CRITICAL
2026-06-02 09:11:07 | WARD_B_TEMP_05 | 35.8 | NORMAL
2026-06-02 09:11:08 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-02 09:11:08 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-06-02 09:11:08 | WARD_B_TEMP_03 | 40.1 | CRITICAL
2026-06-02 09:11:08 | WARD_B_TEMP_04 | 36.8 | NORMAL
2026-06-02 09:11:08 | WARD_B_TEMP_05 | 37.2 | NORMAL
2026-06-02 09:11:09 | WARD_B_TEMP_01 | 39.7 | CRITICAL
2026-06-02 09:11:09 | WARD_B_TEMP_02 | 38.7 | CRITICAL
2026-06-02 09:11:09 | WARD_B_TEMP_03 | 35.6 | NORMAL
2026-06-02 09:11:09 | WARD_B_TEMP_04 | 40.1 | CRITICAL
2026-06-02 09:11:09 | WARD_B_TEMP_05 | 35.7 | NORMAL
2026-06-02 09:11:10 | WARD_B_TEMP_01 | 38.5 | CRITICAL
2026-06-02 09:11:10 | WARD_B_TEMP_02 | 38.6 | CRITICAL
2026-06-02 09:11:10 | WARD_B_TEMP_03 | 36.0 | NORMAL
2026-06-02 09:11:10 | WARD_B_TEMP_04 | 39.5 | CRITICAL
2026-06-02 09:11:10 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-06-02 09:11:11 | WARD_B_TEMP_01 | 40.0 | CRITICAL
2026-06-02 09:11:11 | WARD_B_TEMP_02 | 36.9 | NORMAL
2026-06-02 09:11:11 | WARD_B_TEMP_03 | 36.5 | NORMAL
2026-06-02 09:11:11 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-06-02 09:11:11 | WARD_B_TEMP_05 | 39.0 | CRITICAL
2026-06-02 09:11:12 | WARD_B_TEMP_01 | 37.8 | WARNING
2026-06-02 09:11:12 | WARD_B_TEMP_02 | 39.0 | CRITICAL
2026-06-02 09:11:12 | WARD_B_TEMP_03 | 39.9 | CRITICAL
2026-06-02 09:11:12 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-06-02 09:11:12 | WARD_B_TEMP_05 | 37.6 | WARNING
2026-06-02 09:11:13 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-02 09:11:13 | WARD_B_TEMP_02 | 38.7 | CRITICAL
2026-06-02 09:11:13 | WARD_B_TEMP_03 | 36.6 | NORMAL
2026-06-02 09:11:13 | WARD_B_TEMP_04 | 34.8 | CRITICAL
2026-06-02 09:11:13 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-02 09:11:14 | WARD_B_TEMP_01 | 37.6 | WARNING
2026-06-02 09:11:14 | WARD_B_TEMP_02 | 34.6 | CRITICAL
2026-06-02 09:11:14 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-06-02 09:11:14 | WARD_B_TEMP_04 | 39.5 | CRITICAL
2026-06-02 09:11:14 | WARD_B_TEMP_05 | 39.9 | CRITICAL
2026-06-02 09:11:15 | WARD_B_TEMP_01 | 35.5 | NORMAL
2026-06-02 09:11:15 | WARD_B_TEMP_02 | 40.2 | CRITICAL
2026-06-02 09:11:15 | WARD_B_TEMP_03 | 35.9 | NORMAL
2026-06-02 09:11:15 | WARD_B_TEMP_04 | 37.9 | WARNING
2026-06-02 09:11:15 | WARD_B_TEMP_05 | 38.1 | CRITICAL
2026-06-02 09:11:16 | WARD_B_TEMP_01 | 40.2 | CRITICAL
2026-06-02 09:11:16 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-06-02 09:11:16 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-06-02 09:11:16 | WARD_B_TEMP_04 | 38.2 | CRITICAL
2026-06-02 09:11:16 | WARD_B_TEMP_05 | 36.1 | NORMAL
2026-06-02 09:11:17 | WARD_B_TEMP_01 | 36.3 | NORMAL
2026-06-02 09:11:17 | WARD_B_TEMP_02 | 36.2 | NORMAL
2026-06-02 09:11:17 | WARD_B_TEMP_03 | 39.6 | CRITICAL
2026-06-02 09:11:17 | WARD_B_TEMP_04 | 38.7 | CRITICAL
2026-06-02 09:11:17 | WARD_B_TEMP_05 | 39.1 | CRITICAL
2026-06-02 09:11:18 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-02 09:11:18 | WARD_B_TEMP_02 | 38.2 | CRITICAL
2026-06-02 09:11:18 | WARD_B_TEMP_03 | 37.5 | WARNING
2026-06-02 09:11:18 | WARD_B_TEMP_04 | 36.9 | NORMAL
2026-06-02 09:11:18 | WARD_B_TEMP_05 | 36.9 | NORMAL
