Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-02 09:11:07 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-06-02 09:11:07 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-02 09:11:08 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-02 09:11:08 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-02 09:11:09 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-02 09:11:09 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-02 09:11:10 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-02 09:11:10 | ICU_WATER_RESERVE | 25 | NORMAL
2026-06-02 09:11:11 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-02 09:11:11 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-02 09:11:12 | FACILITY_WATER_MAIN | 34 | NORMAL
2026-06-02 09:11:12 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-06-02 09:11:13 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-06-02 09:11:13 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-02 09:11:14 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-06-02 09:11:14 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-02 09:11:15 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-06-02 09:11:15 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-06-02 09:11:16 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-02 09:11:16 | ICU_WATER_RESERVE | 33 | NORMAL
2026-06-02 09:11:17 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-02 09:11:17 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-02 09:11:18 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-02 09:11:18 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-02 09:11:19 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-06-02 09:11:19 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-02 09:11:20 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-06-02 09:11:20 | ICU_WATER_RESERVE | 15 | NORMAL
2026-06-02 09:11:21 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-02 09:11:21 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-02 09:11:22 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-02 09:11:22 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-02 09:11:23 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-02 09:11:23 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-06-02 09:11:24 | FACILITY_WATER_MAIN | 12 | NORMAL
2026-06-02 09:11:24 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-02 09:11:25 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-06-02 09:11:25 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-02 09:11:26 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-02 09:11:26 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-02 09:11:27 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-06-02 09:11:27 | ICU_WATER_RESERVE | 25 | NORMAL
